
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
68:7F:74:6A:EC:0B, 2015-04-11 00:08:20, 2015-04-11 00:08:21, -62,        3, (not associated) ,
10:F9:6F:B5:B8:9C, 2015-04-11 00:08:35, 2015-04-11 00:09:35, -84,        2, (not associated) ,
00:25:B3:F0:A1:C7, 2015-04-11 00:08:41, 2015-04-11 00:09:56, -78,        3, (not associated) , UFBA-Administrativa
40:78:6A:7C:5E:71, 2015-04-11 00:08:18, 2015-04-11 00:09:22, -78,        4, (not associated) ,
68:B5:99:33:97:81, 2015-04-11 00:08:10, 2015-04-11 00:10:19, -78,      253, (not associated) , MandolLink
24:C6:96:78:C3:F7, 2015-04-11 00:08:42, 2015-04-11 00:10:01, -64,       10, (not associated) , UFBA-Visitante
B4:F0:AB:84:A5:AC, 2015-04-11 00:09:24, 2015-04-11 00:09:55, -62,        6, (not associated) , UFBA-Visitante
D0:51:62:AC:64:93, 2015-04-11 00:09:22, 2015-04-11 00:09:25, -60,        4, (not associated) , UFBA-Visitante
98:FC:11:DD:B5:C6, 2015-04-11 00:08:21, 2015-04-11 00:09:21, -58,        2, (not associated) ,
5C:51:4F:D9:ED:AB, 2015-04-11 00:08:12, 2015-04-11 00:10:12, -56,        2, (not associated) ,
E0:75:7D:E4:18:07, 2015-04-11 00:09:42, 2015-04-11 00:09:42, -56,        2, (not associated) ,
30:A8:DB:99:2D:14, 2015-04-11 00:10:08, 2015-04-11 00:10:08, -56,        2, (not associated) ,
98:FC:11:E0:55:8F, 2015-04-11 00:08:19, 2015-04-11 00:10:16, -52,        4, (not associated) ,

